20131101 013600;1.355220;1.355250;1.355130;1.355160;0
20131101 013700;1.355150;1.355160;1.355150;1.355160;0
20131101 013800;1.355170;1.355170;1.355150;1.355160;0
20131101 013900;1.355150;1.355160;1.355150;1.355160;0
20131101 014000;1.355170;1.355290;1.355170;1.355260;0
20131101 014100;1.355250;1.355400;1.355250;1.355360;0
20131101 014200;1.355370;1.355370;1.355260;1.355260;0
20131101 014300;1.355270;1.355380;1.355270;1.355370;0
20131101 014400;1.355360;1.355570;1.355360;1.355530;0
20131101 014500;1.355520;1.355530;1.355360;1.355370;0
20131101 014600;1.355380;1.355380;1.355370;1.355370;0
20131101 014700;1.355360;1.355360;1.355360;1.355360;0
20131101 014800;1.355370;1.355380;1.355370;1.355370;0
20131101 014900;1.355380;1.355470;1.355370;1.355470;0
20131101 015000;1.355420;1.355480;1.355410;1.355420;0
20131101 015100;1.355430;1.355450;1.355370;1.355450;0
20131101 015200;1.355460;1.355480;1.355460;1.355470;0
20131101 015300;1.355500;1.355500;1.355390;1.355430;0
20131101 015400;1.355440;1.355440;1.355360;1.355370;0
20131101 015500;1.355360;1.355470;1.355360;1.355470;0
20131101 015600;1.355460;1.355480;1.355460;1.355480;0
20131101 015700;1.355470;1.355480;1.355470;1.355470;0
20131101 015800;1.355450;1.355480;1.355450;1.355450;0
20131101 015900;1.355470;1.355470;1.355370;1.355380;0
20131101 020000;1.355400;1.355520;1.355370;1.355470;0
20131101 020100;1.355480;1.355520;1.355430;1.355460;0
20131101 020200;1.355470;1.355470;1.355400;1.355400;0
20131101 020300;1.355410;1.355440;1.355390;1.355430;0
20131101 020400;1.355420;1.355490;1.355420;1.355480;0
20131101 020500;1.355470;1.355480;1.355460;1.355470;0
20131101 020600;1.355460;1.355520;1.355420;1.355520;0
20131101 020700;1.355510;1.355690;1.355500;1.355680;0
20131101 020800;1.355690;1.355720;1.355640;1.355690;0
20131101 020900;1.355710;1.355720;1.355480;1.355490;0
20131101 021000;1.355480;1.355480;1.355430;1.355460;0
20131101 021100;1.355420;1.355440;1.355290;1.355350;0
20131101 021200;1.355390;1.355390;1.355330;1.355360;0
20131101 021300;1.355370;1.355370;1.355190;1.355270;0
20131101 021400;1.355220;1.355240;1.355090;1.355130;0
20131101 021500;1.355100;1.355140;1.354870;1.354900;0
20131101 021600;1.354880;1.355000;1.354880;1.354990;0
20131101 021700;1.354970;1.354990;1.354960;1.354980;0
20131101 021800;1.354970;1.355000;1.354950;1.354960;0
20131101 021900;1.355000;1.355010;1.354860;1.354920;0
20131101 022000;1.354930;1.354960;1.354900;1.354930;0
20131101 022100;1.354920;1.354960;1.354890;1.354920;0
20131101 022200;1.354900;1.354900;1.354760;1.354840;0
20131101 022300;1.354820;1.354890;1.354820;1.354860;0
20131101 022400;1.354850;1.354860;1.354810;1.354840;0
20131101 022500;1.354820;1.354880;1.354820;1.354880;0
20131101 022600;1.354870;1.354870;1.354870;1.354870;0
20131101 022700;1.354910;1.354950;1.354910;1.354940;0
20131101 022800;1.354950;1.355070;1.354930;1.355070;0
20131101 022900;1.355060;1.355230;1.355050;1.355230;0
20131101 023000;1.355220;1.355270;1.355120;1.355160;0
20131101 023100;1.355170;1.355170;1.355150;1.355150;0
20131101 023200;1.355160;1.355160;1.355150;1.355160;0
20131101 023300;1.355170;1.355270;1.355170;1.355250;0
20131101 023400;1.355260;1.355270;1.355250;1.355260;0
20131101 023500;1.355270;1.355320;1.355120;1.355120;0
20131101 023600;1.355130;1.355170;1.354790;1.354800;0
20131101 023700;1.354790;1.354790;1.354650;1.354730;0
20131101 023800;1.354720;1.354740;1.354720;1.354730;0
20131101 023900;1.354720;1.354740;1.354710;1.354730;0
20131101 024000;1.354720;1.354850;1.354700;1.354810;0
20131101 024100;1.354820;1.355150;1.354810;1.355140;0
20131101 024200;1.355150;1.355150;1.355020;1.355060;0
20131101 024300;1.355050;1.355150;1.355050;1.355140;0
20131101 024400;1.355120;1.355160;1.355120;1.355140;0
20131101 024500;1.355120;1.355180;1.355010;1.355090;0
20131101 024600;1.355130;1.355130;1.355020;1.355050;0
20131101 024700;1.355060;1.355060;1.354950;1.354960;0
20131101 024800;1.354970;1.354970;1.354950;1.354950;0
20131101 024900;1.355000;1.355020;1.354940;1.355020;0
20131101 025000;1.355000;1.355270;1.355000;1.355270;0
20131101 025100;1.355240;1.355360;1.355210;1.355350;0
20131101 025200;1.355360;1.355390;1.355270;1.355280;0
20131101 025300;1.355270;1.355380;1.355270;1.355380;0
20131101 025400;1.355390;1.355390;1.355380;1.355390;0
20131101 025500;1.355380;1.355560;1.355380;1.355560;0
20131101 025600;1.355570;1.355600;1.355520;1.355580;0
20131101 025700;1.355570;1.355680;1.355520;1.355660;0
20131101 025800;1.355680;1.355780;1.355660;1.355700;0
20131101 025900;1.355720;1.355870;1.355690;1.355860;0
20131101 030000;1.355830;1.355830;1.355660;1.355690;0
20131101 030100;1.355720;1.355720;1.355380;1.355420;0
20131101 030200;1.355410;1.355410;1.355290;1.355370;0
20131101 030300;1.355380;1.355420;1.355370;1.355380;0
20131101 030400;1.355390;1.355390;1.355280;1.355280;0
20131101 030500;1.355290;1.355400;1.355260;1.355280;0
20131101 030600;1.355290;1.355390;1.355270;1.355380;0
20131101 030700;1.355360;1.355460;1.355360;1.355400;0
20131101 030800;1.355390;1.355400;1.355220;1.355390;0
20131101 030900;1.355370;1.355570;1.355350;1.355440;0
20131101 031000;1.355450;1.355480;1.355440;1.355460;0
20131101 031100;1.355450;1.355530;1.355440;1.355530;0
20131101 031200;1.355520;1.355640;1.355520;1.355590;0
20131101 031300;1.355600;1.355690;1.355560;1.355640;0
20131101 031400;1.355630;1.355690;1.355600;1.355670;0
20131101 031500;1.355680;1.355790;1.355660;1.355780;0
20131101 031600;1.355770;1.355980;1.355760;1.355900;0
20131101 031700;1.355920;1.355920;1.355670;1.355720;0
20131101 031800;1.355710;1.355760;1.355500;1.355540;0
20131101 031900;1.355550;1.355590;1.355540;1.355560;0
20131101 032000;1.355570;1.355590;1.355560;1.355580;0
20131101 032100;1.355570;1.355870;1.355570;1.355860;0
20131101 032200;1.355870;1.355980;1.355850;1.355930;0
20131101 032300;1.355920;1.356070;1.355820;1.356070;0
20131101 032400;1.356080;1.356320;1.356080;1.356170;0
20131101 032500;1.356180;1.356180;1.355920;1.355950;0
20131101 032600;1.355960;1.355960;1.355880;1.355930;0
20131101 032700;1.355920;1.355940;1.355720;1.355830;0
20131101 032800;1.355840;1.356050;1.355840;1.356040;0
20131101 032900;1.356050;1.356160;1.356050;1.356130;0
20131101 033000;1.356120;1.356120;1.355860;1.356030;0
20131101 033100;1.356040;1.356070;1.355950;1.355960;0
